Kingdom	Phylum	Class	Order	Family	Genus	Species	Taxon
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Paenarthrobacter	Paenarthrobacter_sp_CM16	SGB88023
Bacteria	Actinobacteria	Actinobacteria	Nakamurellales	Nakamurellaceae	Nakamurella	Nakamurella_deserti	SGB34030
Bacteria	Cyanobacteria	Cyanobacteria_unclassified	Oscillatoriales	Microcoleaceae	Microcoleus	Microcoleus_sp_FACHB_1515	SGB80549
Bacteria	Cyanobacteria	Cyanobacteria_unclassified	Synechococcales	Merismopediaceae	Synechocystis	Synechocystis_sp_PCC_7509	SGB28872
Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	Rubrobacter_sp_SCSIO_52915	SGB86294
Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Polyangium	Polyangium_sp_SDU3_1	SGB56194
Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Klenkia	Klenkia_taihuensis	SGB16541
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides_alkalitolerans	SGB34174
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium_sp_TH135	SGB11116
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Salinarimonadaceae	Salinarimonas	Salinarimonas_sp_BN140002	SGB89763
Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Archangium	Archangium_gephyra	SGB13248
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter_bussei	SGB16685
Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Pilimelia	Pilimelia_terevasa	SGB87363
Bacteria	Cyanobacteria	Cyanobacteria_unclassified	Cyanobacteria_unclassified	Cyanobacteria_unclassified	Cyanobacteria_unclassified	filamentous_cyanobacterium_Phorm_46	SGB24737
